Commit Message,Author,PR Link,Team,Change Type
feat: Add confirmation UI metrics infra and some redesigned staking deposit events (#13919),OGPoyraz,https://github.com/MetaMask/metamask-mobile/pull/13919,team-confirmations,,Added
fix: Max balance for dApp erc20 approval (#13881),Pedro Figueiredo,https://github.com/MetaMask/metamask-mobile/pull/13881,team-confirmations,,Fixed
feat: Implement unstaking confirmation (#13921),Pedro Figueiredo,https://github.com/MetaMask/metamask-mobile/pull/13921,team-confirmations,,Added
fix: Migration of `TransactionController` to modularised controller init (#13817),OGPoyraz,https://github.com/MetaMask/metamask-mobile/pull/13817,team-confirmations,,Fixed
fix: [cherry-pick | 7.42.0] Confirm Scroll and close on swipe down and backdrop click (#13927),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13927,team-confirmations,,Ops
fix: Confirm ScrollView and readd drag down and backdrop click to close (#13913),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13913,team-confirmations,,Fixed
fix: [cherry-pick | 7.42.0] bitrise missing signature elements following BottomModal → Botto… (#13926),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13926,team-confirmations,,Ops
feat: support DAI while it's being deprecated (#13666),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13666,team-confirmations,,Added
fix: cherry-pick 7.42.0 refactor: Replace redesign confirmation BottomModal with BottomSheet (#13914),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13914,team-confirmations,,Ops
fix: cp-7.42.0 Display account label in re-designs confirmation page account info section (#13853),Jyoti Puri,https://github.com/MetaMask/metamask-mobile/pull/13853,team-confirmations,,Fixed
feat: Implement redesigned staking withdrawals component (#13826),Pedro Figueiredo,https://github.com/MetaMask/metamask-mobile/pull/13826,team-confirmations,,Added
fix: cp-7.42.0 Disable signature re-designs for ledger account (#13858),Jyoti Puri,https://github.com/MetaMask/metamask-mobile/pull/13858,team-confirmations,,Fixed
fix: Permit Simulation vertical overflow title padding and collapsed message alignment (#13830),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13830,team-confirmations,,Fixed
feat: add InlineAlert component (#13709),Vinicius Stevam,https://github.com/MetaMask/metamask-mobile/pull/13709,team-confirmations,,Added
feat: add MultipleAlertModal component (#13683),Vinicius Stevam,https://github.com/MetaMask/metamask-mobile/pull/13683,team-confirmations,,Added
fix: Redesign Confirmation bold font weight text (#13706),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13706,team-confirmations,,Fixed
fix: Remove `transactionMetrics` from persisted storage (#13793),OGPoyraz,https://github.com/MetaMask/metamask-mobile/pull/13793,team-confirmations,,Fixed
fix: bitrise missing signature elements following BottomModal → BottomSheet refactor (#13783),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13783,team-confirmations,,Changed
refactor: Replace redesign confirmation BottomModal with BottomSheet (#13268),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13268,team-confirmations,,Changed
fix: permit simulation overflow (#13769),digiwand,https://github.com/MetaMask/metamask-mobile/pull/13769,team-confirmations,,Fixed
fix: Improve redesigned staking deposit confirmation navigation (#13743),OGPoyraz,https://github.com/MetaMask/metamask-mobile/pull/13743,team-confirmations,,Fixed
feat: add `GeneralAlertBanner` component (#13627),Vinicius Stevam,https://github.com/MetaMask/metamask-mobile/pull/13627,team-confirmations,,Added
fix: Uppercase currency code (#13967),Nick Gambino,https://github.com/MetaMask/metamask-mobile/pull/13967,team-assets,,Fixed
fix: fix network filter on switch network from dapp (#13987),sahar-fehri,https://github.com/MetaMask/metamask-mobile/pull/13987,team-assets,,Fixed
fix: use correct updating text when toggling notifications (#13943),Prithpal Sooriya,https://github.com/MetaMask/metamask-mobile/pull/13943,team-assets,,Fixed
feat: Add token list item pressed event (#13808),Nick Gambino,https://github.com/MetaMask/metamask-mobile/pull/13808,team-assets,,Added
fix: cp-7.42.0 fix history transactions loading (#13959),Salim TOUBAL,https://github.com/MetaMask/metamask-mobile/pull/13959,team-assets,,Fixed
feat: revisit currencies list (#13879),Salim TOUBAL,https://github.com/MetaMask/metamask-mobile/pull/13879,team-assets,,Added
