scenario,observations,passes,failures,pass_pct,fail_pct,primary_threshold_ms,thresholds_seen,fail_over_pct_mean,fail_over_pct_mode,fail_over_pct_median,fail_over_pct_min,fail_over_pct_max,fail_over_n,fail_duration_mean_ms,fail_duration_median_ms,step_thresholds_json
"Onboarding Import SRP with +50 accounts, SRP 3",542,222,320,41.0,59.0,1980,"{""1980"": 983, ""2200"": 682, ""1650"": 875, ""5500"": 542, ""3300"": 542}",16.3,5.3,13.1,0.1,68.7,320,2276,2222,"{""Time since the user clicks on \""Create new wallet\"" button until \""Social sign up\"" is visible"": {""threshold_mode"": 1980, ""thresholds_seen"": {""1980"": 542}}, ""Time since the user clicks on \""Import using SRP\"" button until SRP field is displayed"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 542}}, ""Time since the user clicks on \""Continue\"" button on SRP screen until Password fields are visible"": {""threshold_mode"": 1650, ""thresholds_seen"": {""1650"": 542}}, ""Time since the user clicks on \""Create Password\"" button until Metrics screen is displayed"": {""threshold_mode"": 1980, ""thresholds_seen"": {""1980"": 441, ""1650"": 101}}, ""Time since the user clicks on \""Done\"" button until ETH and BTC are visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 542}}, ""Time since the user clicks on \""Done\"" button until feature sheet is visible"": {""threshold_mode"": 3300, ""thresholds_seen"": {""3300"": 542}}, ""Time since the user clicks on \""I agree\"" button on Metrics screen until Onboarding Success screen is visible"": {""threshold_mode"": 1650, ""thresholds_seen"": {""2200"": 140, ""1650"": 232}}}"
Account creation after fresh install,423,267,156,63.1,36.9,3300,"{""2200"": 846, ""3300"": 423}",92.7,77.7,95.8,1.4,241.7,156,5492,5822,"{""Time since the user clicks on \""Account list\"" button until the account list is visible"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 423}}, ""Time since the user clicks on \""Create account\"" button until the account is in the account list"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 423}}, ""Time since the user clicks on new account created until the Token list is visible"": {""threshold_mode"": 3300, ""thresholds_seen"": {""3300"": 423}}}"
Cold Start after importing a wallet,489,367,122,75.1,24.9,2200,"{""2200"": 362, ""1650"": 127}",73.2,4.2,37.2,0.5,323.1,122,3809,3018,"{""Time since the user clicks on unlock button, until the app unlocks"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 362, ""1650"": 127}}}"
"Connect to Uniswap dapp, edit accounts, choose another account, and skip Solana popup",494,383,111,77.5,22.5,24200,"{""24200"": 494, ""5500"": 494}",170.5,45.9,227.5,0.2,408.8,111,65459,79260,"{""Time since the user selects Metamask until Metamask app is opened"": {""threshold_mode"": 24200, ""thresholds_seen"": {""24200"": 494}}, ""Time since the user taps Connect in MetaMask until Uniswap is displayed"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 494}}}"
"Import SRP with +50 accounts, SRP 1, SRP 2, SRP 3",407,349,58,85.7,14.3,1870,"{""3300"": 407, ""1320"": 407, ""1870"": 407, ""2200"": 407}",100.2,3.2,22.7,0.1,311.7,58,4116,3463,"{""Time since the user clicks on \""Account list\"" button until the account list is visible"": {""threshold_mode"": 3300, ""thresholds_seen"": {""3300"": 407}}, ""Time since the user clicks on \""Add account\"" button until the next modal is visible"": {""threshold_mode"": 1320, ""thresholds_seen"": {""1320"": 407}}, ""Time since the user clicks on \""Import SRP\"" button until SRP field is displayed"": {""threshold_mode"": 1870, ""thresholds_seen"": {""1870"": 407}}, ""Time since the user clicks on \""Continue\"" button on SRP screen until Wallet main screen is visible"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 407}}}"
Perps add funds,705,607,98,86.1,13.9,3850,"{""4620"": 705, ""3850"": 705, ""7700"": 705}",43.5,0.5,27.4,0.0,293.0,98,6827,5086,"{""Select Perps Main Screen"": {""threshold_mode"": 4620, ""thresholds_seen"": {""4620"": 705}}, ""Open Add Funds"": {""threshold_mode"": 3850, ""thresholds_seen"": {""3850"": 705}}, ""Get Quote"": {""threshold_mode"": 7700, ""thresholds_seen"": {""7700"": 705}}}"
Seedless Onboarding: Apple Login New User,638,565,73,88.6,11.4,6600,"{""2200"": 638, ""6600"": 1276, ""5500"": 1276}",25.0,0.3,17.7,0.0,133.9,73,7416,6869,"{""Apple: Tap \""Create new wallet\"" \u2192 OnboardingSheet visible"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 638}}, ""Apple: Tap Apple login \u2192 post-OAuth screen visible"": {""threshold_mode"": 6600, ""thresholds_seen"": {""6600"": 638}}, ""Apple: Tap \""Create Password\"" \u2192 Onboarding Success visible"": {""threshold_mode"": 6600, ""thresholds_seen"": {""6600"": 638}}, ""Apple: Tap \""Done\"" \u2192 feature sheet visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 638}}, ""Apple: Dismiss feature sheet \u2192 wallet main screen visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 638}}}"
"Cross-chain swap flow - ETH to SOL - 50+ accounts, SRP 1 + SRP 2 + SRP 3",629,560,69,89.0,11.0,2420,"{""2420"": 629, ""7700"": 629}",35.2,13.0,22.2,2.6,226.7,69,4047,2957,"{""Time since the user clicks on the \""Swap\"" button until the swap page is loaded"": {""threshold_mode"": 2420, ""thresholds_seen"": {""2420"": 629}}, ""Time since the user enters the amount until the quote is displayed"": {""threshold_mode"": 7700, ""thresholds_seen"": {""7700"": 629}}}"
Seedless Onboarding: Google Login New User,641,586,55,91.4,8.6,5500,"{""2200"": 641, ""5500"": 1923, ""6600"": 641}",27.6,35.7,25.2,0.3,99.6,55,6814,6888,"{""Google: Tap \""Create new wallet\"" \u2192 OnboardingSheet visible"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 641}}, ""Google: Tap Google login \u2192 post-OAuth screen visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 641}}, ""Google: Tap \""Create Password\"" \u2192 Onboarding Success visible"": {""threshold_mode"": 6600, ""thresholds_seen"": {""6600"": 641}}, ""Google: Tap \""Done\"" \u2192 feature sheet visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 641}}, ""Google: Dismiss feature sheet \u2192 wallet main screen visible"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 641}}}"
Perps open position and close it,415,385,30,92.8,7.2,15400,"{""2200"": 415, ""6600"": 415, ""5500"": 415, ""15400"": 415, ""3300"": 160, ""2750"": 255}",18.0,1.3,10.9,0.5,74.6,30,12025,15640,"{""Perps tutorial screen visible"": {""threshold_mode"": 2200, ""thresholds_seen"": {""2200"": 415}}, ""Market list screen visible"": {""threshold_mode"": 6600, ""thresholds_seen"": {""6600"": 415}}, ""Open Order Screen"": {""threshold_mode"": 5500, ""thresholds_seen"": {""5500"": 415}}, ""Position opened"": {""threshold_mode"": 15400, ""thresholds_seen"": {""15400"": 415}}, ""Market Details Screen"": {""threshold_mode"": 2750, ""thresholds_seen"": {""3300"": 160, ""2750"": 255}}}"
